HouseStyle,TotalSF,SalePrice
2Story,2566,208500
1Story,2524,181500
2Story,2706,223500
2Story,2473,140000
2Story,3343,250000
1.5Fin,2158,143000
1Story,3380,307000
2Story,3197,200000
1.5Fin,2726,129900
1.5Unf,2068,118000
1Story,2080,129500
2Story,3499,345000
1Story,1824,144000
1Story,2988,279500
1Story,2506,157000
1.5Unf,1686,132000
1Story,2008,149000
1Story,1296,90000
1Story,2228,159000
1Story,2368,139000
2Story,3534,325300
1.5Unf,1745,139400
1Story,3572,230000
1Story,2100,129900
1Story,2120,154000
1Story,3166,256300
1Story,1800,134800
1Story,3408,306000
1Story,3084,207500
1Story,1040,68500
2Story,1966,40000
1Story,2456,149350
1Story,2468,179900
1Story,3098,165500
1Story,3122,277500
2Story,3569,309000
1Story,2194,145000
1Story,2594,153000
1Story,2114,109000
1Story,1152,82000
1Story,2412,160000
1Story,2678,170000
SFoyer,1724,144000
1Story,1876,130250
1Story,2300,141000
1Story,3504,319900
1.5Fin,3583,239686
1Story,3312,249700
2Story,2188,113000
1Story,1910,127000
2Story,2264,177000
1.5Fin,1632,114500
1Story,1632,110000
1Story,3684,385000
SLvl,1744,130000
1Story,2850,180500
2Story,2709,172500
2Story,2580,196500
2Story,4355,438780
1Story,1560,124900
1Story,2316,158000
2.5Unf,1641,101000
1Story,2740,202500
2Story,2286,140000
2Story,3091,219500
2Story,3616,317000
1Story,4154,180000
1Story,2932,226000
1Story,1494,80000
1.5Fin,3591,225000
1Story,4446,244000
1Story,1690,129500
2Story,2550,185000
1Story,2172,144900
2Story,2445,107400
SLvl,1450,91000
1Story,1904,135750
1.5Fin,1957,127000
1Story,3536,136500
2Story,1670,110000
2Story,3038,193500
1Story,2574,153500
1Story,3126,245000
1Story,2130,126500
SLvl,1858,168500
2Story,3705,260000
2Story,2244,174000
2Story,1836,164500
1.5Fin,2026,85000
1Story,1980,123600
1Story,1040,109900
1Story,2470,98600
1Story,1840,163500
2.5Unf,3505,133900
2Story,2610,204750
2Story,2150,185000
1Story,3176,214000
1Story,1920,94750
1Story,1293,83000
1Story,2175,128950
1Story,3220,205000
2Story,2473,178000
1Story,1535,118964
1Story,2452,198900
1.5Fin,2858,169500
2Story,3045,250000
1Story,1688,100000
1Story,1578,115000
1.5Fin,2310,115000
1Story,3688,190000
1.5Fin,2849,136900
SLvl,1814,180000
2Story,3960,383970
1Story,4068,217000
2Story,3348,259500
2Story,2187,176000
1Story,2184,139000
1Story,2250,155000
2Story,4895,320000
2Story,2184,163990
SLvl,1926,180000
1.5Fin,1855,100000
1Story,2160,136000
1Story,2398,153900
1Story,2948,181000
1.5Fin,1040,84500
1Story,2036,128000
1.5Unf,1512,87000
2Story,2008,155000
1Story,2061,150000
2Story,3081,226000
2Story,3046,244000
1Story,2390,150750
1Story,2563,220000
1Story,3182,180000
1Story,2986,174000
1Story,2428,143000
1Story,3866,171000
2Story,2856,230000
2Story,2692,231500
1Story,1728,115000
1Story,3468,260000
1.5Fin,2295,166000
1Story,2991,204000
1Story,3456,125000
2Story,2679,130000
1Story,1590,105000
2Story,2919,222500
1Story,2160,141000
1.5Fin,2240,115000
1Story,1938,122000
1Story,3420,372402
2Story,2818,190000
1Story,2854,235000
1Story,2400,125000
1.5Fin,1668,79000
1Story,1040,109500
2Story,2742,269500
2Story,2938,254900
2Story,3854,320000
1Story,2464,162500
2Story,4240,412500
1Story,3082,220000
1.5Unf,1764,103200
1Story,2765,152000
1.5Fin,1999,127500
1Story,3484,190000
2Story,3743,325624
2Story,2560,183500
1Story,3393,228000
1.5Fin,1574,128500
1Story,2736,215000
2Story,2831,239000
1Story,2724,163000
1Story,3257,184000
1Story,3360,243000
2Story,3211,211000
